"3EY9"	"1TK1"
"3EUH"	"2BKW"
"1SBK"	"2FTX"
"1QOY"	"2GUZ"
"4IJZ"	"1ZYZ"
"2PTQ"	"1CR5"
"1RKQ"	"1R5T"
"1LV7"	"2A6Y"
"2HO9"	"4G4S"
"1B75"	"1IXV"
"1BBU"	"2Y9Y"
"1G9S"	"3FEM"
"1AON"	"2AIV"
"1P85"	"2HLD"
"1ZMR"	"3RKU"
"1G0S"	"1JWH"
"1BDX"	"2RNN"
"1ND9"	"2LLI"
"1VS5"	"3P9D"
"1DJ0"	"1GXC"
"1EG0"	"1NLT"
"1AF6"	"2FSB"
"2DQ6"	"2DYT"
"3DF2"	"4FFB"
"1SPV"	"1EZV"
"1Q5V"	"2WPD"
"1ACP"	"2JVB"
"1HK9"	"4CR2"
"1MUL"	"3U28"
"3V8V"	"3ACP"
"1CME"	"2QIY"
"1U9J"	"3OSM"
"1OAP"	"3CJH"
"1M5G"	"2OGH"
"3LA6"	"1RSG"
"3B5W"	"3U5C"
"1IHF"	"1PGU"
"3J0T"	"1JSC"
"1DDR"	"2A6V"
"1G57"	"2ZD7"
"1DC3"	"1X3W"
"2LJP"	"3MKQ"
"1WD6"	"3VWA"
"1EQ2"	"4M5D"
"1EG0"	"2HLD"
"1SRO"	"2DZN"
"2PFU"	"3SBC"
"1HK9"	"3O8O"
"1PMM"	"3J47"
"1M5G"	"3J47"
"1AJA"	"1FW8"
"2M2A"	"1ERJ"
"1CTF"	"1YAG"
"1G7O"	"2KM4"
"1F47"	"2FL7"
"1VH1"	"4DGW"
"1TYF"	"1FNT"
"2OLW"	"4JJN"
"1QU7"	"2OQ2"
"1JR3"	"4CR2"
"1WNB"	"3V9R"
"1SF8"	"3R7W"
"3LPL"	"4M77"
"2JFN"	"1YFM"
"1TIW"	"2VKN"
"1A40"	"1ZWZ"
"3VGZ"	"1ZPU"
"1BDF"	"1ZUK"
"4A2C"	"1K5X"
"2KQX"	"1SCG"
"1P85"	"2DYM"
"1C0A"	"1AKY"
"1K3W"	"2HLD"
"1ARZ"	"4A8J"
"1D8C"	"3CUE"
"1F0K"	"4HT6"
"1ACM"	"2VGM"
"2YJT"	"1FUK"
"1P85"	"1HKG"
"1S14"	"3OLM"
"2PFU"	"3ZZF"
"3RF9"	"4C2M"
"1EK9"	"2GW1"
"11AS"	"1K5Y"
"2BON"	"4EMC"
"1EG0"	"1A4H"
"1XVI"	"2M3F"
"1NXE"	"4C8Q"
"1TYF"	"2QIZ"
"3F6C"	"2E7S"
"1ND9"	"1Q46"
"1AB4"	"1SXJ"
"1GG4"	"1A0A"
"1EG0"	"3RM5"
"2JSX"	"1U4C"
"1ZVT"	"2OD8"
"1M5G"	"1I3Q"
"1GQT"	"4DGW"
"1W36"	"3FPZ"
"1JQJ"	"1I3Q"
"2HDF"	"1OD2"
"1ZH2"	"2GA8"
"1AA3"	"3UPV"
"1JBK"	"2PQR"
"2K8I"	"2AYU"
"3EZH"	"2FH0"
"2YKR"	"3O8O"
"1GZ0"	"4DSQ"
"1QYN"	"2V3M"
"1VB3"	"1HOW"
"1OYW"	"3P9D"
"1PRZ"	"2J6A"
"1P85"	"4FFB"
"1C5K"	"3BY4"
"1AA3"	"4K51"
"2M2A"	"3ICF"
"1DU2"	"1FNT"
"1D9E"	"2K5U"
"1D8S"	"2L7E"
"1OVX"	"1USU"
"1E1O"	"2PK9"
"2F9Y"	"1N0U"
"1HZE"	"2HJN"
"3DF2"	"3BLV"
"1F9Z"	"2JMI"
"3QOU"	"1ZXE"
"2GMW"	"3BLV"
"1M5G"	"4ADY"
"2O1S"	"2KZ9"
"1JHC"	"3NFH"
"1EQQ"	"3O2P"
"1VT2"	"1EBG"
"1SIG"	"1YAT"
"2DXA"	"3IZS"
"2F9Y"	"1JK0"
"1OKJ"	"2JUC"
"3TKA"	"2HLD"
"1SF8"	"3WHJ"
"1KON"	"3IAB"
"1F21"	"2LLV"
"3CB4"	"3DXR"
"1QHL"	"3NYB"
"4BIU"	"1G5B"
"1LV3"	"2B6G"
"1ABV"	"4FMM"
"3CI0"	"3IZB"
"1RYK"	"1H4P"
"1E0G"	"2Y9M"
"1FWY"	"2ER8"
"1GNK"	"1N0W"
"1DFO"	"2AXQ"
"2FQ1"	"2Q99"
"1ZGZ"	"1NRJ"
"3TLQ"	"1IB2"
"2GQQ"	"1K5Y"
"1C17"	"1QHK"
"1B9U"	"4LJO"
"2H09"	"1RE0"
"1ORM"	"1EDZ"
"2DY0"	"1YEA"
"3F6C"	"1E32"
"1CMA"	"1KU1"
"2E85"	"1R52"
"1CM2"	"1AJY"
"1BF6"	"1OF5"
"1SR3"	"1XTZ"
"1KMI"	"3J16"
"3BMB"	"2JU0"
"1H75"	"3V9R"
"1ACM"	"3IZQ"
"2WW4"	"2IXO"
"3J5S"	"1D1P"
