"Q99K10"	"3B3Q A/B=46-635"
"P05067"	"1AAP A/B=287-344"
"Q02248"	"1DOW B=118-149"
"P62834"	"1C1Y A=1-167"
"O08665"	"1Q47 A/B=26-520"
"P02340"	"1HU8 A/B/C=96-281"
"P01112"	"121P A=1-166"
"P13393"	"1NGM A/E/I/M=61-240"
"Q03555"	"1IHC A=1-201"
"P43686"	"2DVW B=337-418"
"P56528"	"2EG9 A/B=48-288"
"P11881"	"1N4K A=224-604"
"Q96EY1"	"2CTT A=213-303"
"O88384"	"1GL2 C=140-200"
"O88508"	"3SW9 P/Q=39-50"
"Q62420"	"1ZWW A/B=1-256"
"Q91XE4"	"3NFZ A=1-318"
"P61765"	"3C98 A=1-594"
"Q61033"	"2V0X A/B=459-693"
"Q9QUK6"	"2Z64 A=27-625"
"Q62226"	"1VHH A=34-195"
"P06343"	"1D9K D/H=30-216"
"P42574"	"1CP3 A/B=1-277"
"Q15596"	"1GWQ C/D=688-696"
"Q60803"	"4GHU A=376-567"
"Q92945"	"2HH2 A=423-525"
"Q9WVG6"	"2V74 B/D/F/H=147-490"
"Q7TS55"	"2Q8O A/B=43-173"
"P04637"	"1A1U A/C=324-358"
"Q14114"	"3A7Q B=42-83"
"Q64364"	"1HN3 A=1-37"
"Q07812"	"1F16 A=1-192"
"Q9ERI2"	"3BC1 A/E=1-193"
"O08808"	"1V9D A/B/C/D=826-1163"
"P15337"	"1KDX B=119-146"
"O35615"	"1SRK A=328-360"
"P61092"	"1K2F A/B=93-282"
"P31324"	"3TNP B/E=1-416"
"P60879"	"2BU0 C=18-82, D=139-206"
"Q9WUN2"	"4JL9 A=2-656"
"Q9UBU8"	"2AQL A/B=190-362"
"P16104"	"2D31 C/F=78-86"
"P42208"	"3FTQ A/B/C/D=33-306"
"P15924"	"1LM5 A/B=2609-2822"
"P03228"	"2CH8 A/B/C/D=21-221"
"P16092"	"2CKN A=25-119"
"Q8K3Y3"	"3TRZ A/B/C/D/E/F=31-187"
"P04925"	"1AG2 A=123-225"
"P33173"	"1I5S A=1-355"
"P25916"	"2CKL A=1-108"
"Q60793"	"2WBS A=395-483"
"P49768"	"2KR6 A=292-467"
"P08228"	"3GTT A/B/C/D/E/F=2-154"
"P22681"	"1B47 A/B/C=47-350"
"Q60778"	"1K3Z D=50-331"
"O88838"	"2AFJ A=12-224"
"Q99NC0"	"4EAZ C/D=20-51"
"P17535"	"3U86 B=27-39"
"Q9Z2X8"	"1X2J A=309-624"
"Q02763"	"1FVR A/B=808-1124"
"Q92783"	"2L0A A=207-267"
"P42227"	"1BG1 A=127-715"
"O89100"	"1H3H A=263-322"
"O35235"	"1IQA A/B/C=157-316"
"P51693"	"3PMR A/B=285-499"
"Q99MV1"	"4B9W A/B=692-892"
"O88703"	"1Q3E A/B=443-645"
"O70343"	"3F7D B=137-150"
"P05132"	"1APM E=2-351"
"P05532"	"2O26 U/W/X/Y=25-314"
"P25976"	"1V63 A=567-654"
"P15116"	"1NCG A=160-267"
"O35464"	"3AFC A/B=19-570"
"P20226"	"1C9B B/F/J/N/R=159-337"
"Q5SWZ9"	"4GGJ A=31-221"
"P07333"	"2I0V A=538-922"
"Q8VE98"	"4I0K A=34-247"
"Q6PAL8"	"3CWZ B=707-1090"
"P00441"	"1AZV A/B=2-154"
"O75695"	"2BX6 A=1-350"
"P27361"	"2ZOQ A/B=1-379"
"Q15814"	"2L3L A=26-135"
"P13569-1"	"1NBD A=425-638"
"Q69ZK9"	"3BL8 A/B/C/D=42-612"
"Q14160"	"1UJU A=1096-1193"
"Q9GZV9"	"2P39 A=25-179"
"O95271"	"2RF5 A=1091-1325"
"Q60994"	"1C28 A/B/C=114-247"
"P46937"	"1JMQ A=165-210"
"O54901"	"4BFI B=31-232"
"P35221"	"1H6G A/B=377-632"
"O88597"	"3BL2 C/D=106-124"
"D3Z7P3"	"3SS3 A/B/C/D=128-555"
"P06802"	"4B56 A/B=87-906"
"P36956"	"1AM9 A/B/C/D=319-400"
"Q60841"	"2DDU A=1222-1597"
"Q8R1S4"	"2D1L A/B=1-250"
"O88522"	"2V4H A/B=251-337"
"P45481"	"1F81 A=1764-1850"
"P63250"	"1N9P A=41-371"
"P70208"	"3IG3 A=1247-1872"
"P48025"	"2LCT B=338-350"
"P07141"	"3EJJ A/B=36-180"
"Q9R1P4"	"3UNB E/S/g/u=1-263"
"Q60739"	"1I6Z A=226-355"
"P11802"	"1LD2 A=1-303"
"P58400"	"3B3Q E/F=85-266"
"P33176"	"1BG2 A=1-325"
"P46938"	"3JUA B/D/F/H=47-85"
"O70468"	"4EDQ A/B=149-269"
"P42866"	"4DKL A=52-360"
"P26231"	"1DOV A=82-262"
"Q15287"	"4A8X A=159-244"
"Q03405"	"1YWH A/C/E/G/I/K/M/O=23-335"
"Q03137"	"1B0X A=890-981"
"P42228"	"1BGF A=2-123"
"P62990"	"4LJO B=1-76"
"P23772"	"3DFV C/D=308-370"
"Q15554"	"1H6P A/B=43-245"
"P14735"	"2G47 A/B=42-1019"
"Q00420"	"1AWC B=5-157"
"P70218"	"1UTI D=465-480"
"Q925J9"	"1XDK C/D/G/H=641-654"
"P02749"	"1C1Z A=20-345"
"P14653"	"1B72 A=171-264"
"P09631"	"1PUF A=193-269"
"P61224"	"3BRW D=1-167"
"P36037"	"3GAE A/B=464-715"
"Q62192"	"3T6Q A/B=21-626"
"P62993"	"1AZE A=1-56"
"Q9UKV8"	"3LUC A/B/C=439-575"
"P46097"	"2NP0 B=40-60"
"P51865"	"2J5H A=96-134"
"Q9HD67"	"2LW9 A/B=883-933"
"Q9WUL5"	"3BOV A=20-123"
"Q62384"	"2QKD A=47-440"
"P05622"	"1AYA P/Q=1005-1015"
"P09619"	"1GQ5 A=1102-1106"
"P15379"	"2JCP A=23-174"
"P35330"	"1J19 B=253-268"
"O14745"	"1G9O A=11-99"
"Q15599"	"2D11 E/F/G/H=310-337"
"P97792"	"3JZ7 A=20-233"
"P08476"	"1NYS B/D=311-426"
"P05129"	"2E73 A=36-105"
"Q61026"	"1L2I C/D=686-698"
"P54763"	"1JPA A/B=595-906"
"P43026"	"1WAQ A=387-501"
"P18075"	"1BMP A=293-431"
"P22004"	"2QCW A/B=382-513"
"P36894"	"1ES7 B/D=55-143"
"P27037"	"3Q4T A/B=191-488"
"P51943"	"3QHR B/D=163-422"
"Q00987"	"1RV1 A/B/C=25-109"
"O95149"	"1XK5 A=97-300"
"P61925"	"1CMK I=6-27"
"P62826"	"1I2M A/C=1-216"
"O35393"	"3D12 B/E=29-169"
"P27577"	"1K78 B/F=331-440"
"P49711"	"1X6H A=515-587"
"Q15047"	"3DLM A=196-402"
"P35439"	"1PB7 A=394-800"
"P18872"	"3C7K A/C=22-354"
"P10686"	"1Y0M A=791-851"
"P49418"	"1KY7 P=322-331"
"Q99962"	"1X03 A=1-247"
"Q05193"	"1DYN A/B=510-633"
"O54790"	"1K1V A=24-64"
"P01901"	"1BQH A/D=22-295"
"P01899"	"1BZ9 A=26-299"
"P11609"	"1CD1 A/C=22-336"
"Q62170"	"2EMT C/D/E=331-348"
"Q60520"	"1G1E B=295-383"
"P18654"	"2QR7 A=399-740"
"P67870"	"1DS5 E/F/G/H=181-203"
"P11021"	"3IUC A/C=26-410"
"P68400"	"1JWH A/B=1-337"
"Q9BYE7"	"2DJB A=126-182"
"Q9NZI8"	"3KRM A/B/C=404-566"
"P08107"	"1HJO A=3-382"
"Q99496"	"2H0D B=15-114"
"Q9CW46"	"1WI6 A=61-135"
"Q969H0"	"2OVP B=263-707"
"P01139"	"1BET A=131-237"
"P00533"	"1DNQ A=25-336"
"Q71LX4"	"3G9W A/B=198-408"
"P29994"	"3T8S A/B=7-602"
"P27448"	"2QNJ A/B=48-370"
"P31946"	"2BQ0 A/B=1-239"
"Q15750"	"2J4O A=1-401"
"Q9NYJ8"	"2DAE A=7-70"
"Q02111"	"4FKD A=232-281"
"Q2TBA3"	"3V4L A=338-729"
"Q08509"	"1AOJ A/B=532-591"
"Q9NR31"	"2GAO A/B=10-198"
"P53992"	"3EH2 A/B/C=329-1094"
"Q75RY0"	"2KBI A=1773-1865"
"Q13158"	"1A1W A=1-83"
"O75962"	"1NTY A=1284-1594"
"Q6ZPF4"	"4EAH A/B/C/E=555-954"
"Q91YD9"	"3M3N W=399-444"
"Q01970"	"3OHM B=10-886"
"P41220"	"2AF0 A=71-203"
"Q5S007"	"2ZEJ A/B=1333-1516"
"P19091"	"2QPY A=649-899"
"P04150"	"1M2Z A/D=521-777"
"Q9JMB7"	"2XFM A=276-425"
"Q05876"	"2L2P A=85-142"
"P60201-1"	"2XPG C=45-53"
"P32851"	"1BR0 A=27-144"
"P70452"	"2PJX C/D=1-29"
"Q9ES54"	"1NJ3 A=580-608"
"Q99N13"	"1TQE X/Y=139-158"
"O09053"	"2E6L A=31-238"
"P46061"	"1KPS B/D=420-589"
"P48026"	"3BJ7 A/B/C/D=1-171"
"P27870"	"1F5X A=170-375"
"P52800"	"1IKO P=30-207"
"P97879"	"1M5Z A=980-1070"
"P25799"	"1BFS A=245-350"
"P04756"	"2QC1 B=21-231"
"P13591"	"2E3V A/B/C=510-608"
"Q8TEW0"	"2KOM A=451-549"
"P60766"	"3EG5 A/C=1-178"
"P78352"	"1KEF A=62-154"
"Q00959"	"2A5S A=401-802"
"Q00960"	"3JPW A=32-394"
"P36941"	"1RF3 B=385-408"
"P13497"	"3EDG A=121-321"
"O60331"	"3H1Z P=639-653"
"P12003"	"1QKR A/B=879-1135"
"P17955"	"3T97 A/C=362-425"
"P49790"	"2EBQ A=722-761"
"P32835"	"2X19 A=8-179"
"P23510"	"2HEV F=51-183"
"P10275"	"1E3G A=657-919"
"P01137"	"1KLA A/B=279-390"
"O35718"	"2BBU A=22-185"
"O75581"	"3S2K A/B=630-1246"
"Q13363"	"1MX3 A=28-353"
"P35585"	"1W63 M/N/O/P/R/V=1-423"
"P11362"	"1AGW A/B=458-765"
"Q9UKT7"	"4I6J B=1-428"
"Q9Y5W5"	"2D3J A=32-181"
"Q61091"	"1IJY A/B=28-155"
"P03070"	"1EJL A/B=126-132"
"P17679"	"1GNF A=200-243"
"Q61234"	"1QAV A=77-164"
"P08487"	"2FCI A=663-759"
"P26367"	"2CUE A=211-277"
"P51480"	"1LNN A=12-159"
"O75436"	"2FAU A=1-327"
"Q13526"	"1F8A B=1-163"
"Q61066"	"3F5C B/C=205-472"
"Q9DC28"	"4JJR A/B=1-299"
"P63208"	"1FQV B/D/F/H/J/L/N/P=1-163"
"P46935"	"3M7F B=71-246"
"Q13263"	"1FP0 A=619-679"
"Q8WUI4"	"3C0Y A/B/C=482-903"
"P20334"	"1D0J G/H/I/J/K=231-236"
"Q05769"	"1CVU A/B=18-569"
"Q15370"	"1LM8 B=1-118"
"P83940"	"2FNJ C=17-112"
"P15018"	"1EMR A=44-202"
"O60674"	"2B7A A/B=840-1132"
"Q9HCJ0"	"2DKL A=927-998"
"O15520"	"1NUN A=64-208"
"O94907"	"3S2K C=178-266"
"O35625"	"3UTM C=1-80"
"P27782"	"2LEF A=296-380"
"Q9H444"	"3C3Q B=207-224"
"P53350"	"1Q4K A/B/C=345-603"
"O94817"	"4GDK A/D=52-140"
"Q9Y4D1"	"2J1D G=596-1078"
"P84092"	"1BW8 A=122-435"
"Q13772"	"1T5Z B=322-336"
"P46013"	"1R21 A=1-120"
"O14744"	"4GQB A=1-637"
"P48443"	"2GL8 A/B/C/D=227-463"
"P12643"	"1ES7 A/C=283-396"
"O14686"	"3UVK B=5337-5347"
"Q8VDU0"	"3RO2 A=22-357"
"Q9JIH2"	"2C1M B=1-46"
"Q9Y4K3"	"1LB4 A=348-504"
"Q99835"	"4JKV A/B=190-555"
"P36888"	"1RJB A=564-958"
"Q8CGC6"	"1X4H A=317-414"
"P48432"	"1GT0 D=41-120"
"Q9GZM8"	"2V66 B/C/D/E=58-168"
"P11798"	"1HKX A/B/C/D/E/F/G/H/I/J/K/L/M/N=336-478"
"Q9Z2X2"	"2DVW A=1-231"
"Q9UKV5"	"2EJS A=452-502"
"P08069"	"1IGR A=31-492"
"O08734"	"2VOH B=64-89"
"Q91ZE9"	"2VOG B=126-152"
"O54828"	"2PBI A/C=1-422"
"O60341"	"2COM A=169-279"
"P10912"	"1A22 B=19-256"
"P35579"	"2LNK C=1897-1935"
"P20340"	"1YZQ A=10-177"
"Q5SW79"	"4JON A/B/C/D/E=1-126"
"O60333"	"2EH0 A=531-647"
"P15884"	"2KWF B=11-27"
"Q96D31"	"2MAK B/D=272-292"
"Q8TF76"	"2VUW A=465-798"
"P97947"	"1YP0 B=17-28"
"Q9NP77"	"3O2Q B/E=1-194"
"Q9ES67"	"3CX6 B=307-508"
"P33148"	"1L3W A=156-695"
"Q5EBH1"	"1RFH A=108-166"
"Q12888"	"1GZH B/D=1724-1972"
"P27671"	"2IJE S=1028-1262"
"P42566"	"1C07 A=217-311"
"Q9JHF9"	"2Z64 C=21-155"
"O35904"	"2WXF A=106-1043"
"P01910"	"1D9K C/G=27-209"
"Q13085"	"2YL2 A/B=78-617"
"O00763"	"2DN8 A=885-971"
"Q9UHD2"	"4EFO A/B=302-383"
"P19525"	"1QU6 A=1-170"
"Q02395"	"2EQJ A=40-98"
"Q8R5A0"	"3QWV A=1-433"
"Q27934"	"4I7B B/D=113-125"
"P15806"	"2QL2 A/C=547-606"
"Q14653"	"1J2F A/B=175-427"
"P61586"	"1A2B A=1-181"
"Q9Y297"	"1P22 A=175-605"
"Q12791"	"2K44 A=257-284"
"Q96IZ0"	"2JK9 B=67-81"
"Q62296"	"3JUA A/C/E/G=210-427"
"Q12860"	"2EE2 A=798-903"
"Q5SPW0"	"3N1B A/B=836-974"
"O75716"	"2BUJ A/B=13-304"
"Q9Y5K6"	"2FEI A=111-166"
"Q6PB44"	"2W10 C/D=719-730"
"P40818"	"1WHB A=176-317"
"Q8CDG1"	"4B9W P/S=38-50"
"P31749"	"1H10 A=1-123"
"P63248"	"1APM I=6-25"
"Q9WUL7"	"1FZQ A=2-182"
"P46406"	"1J0X O/P/Q/R=2-333"
"P26361"	"1Q3H A/B/C/D=389-673"
"Q6XJV4"	"4BFE A/B/C=26-238"
"P03255"	"2KJE B=53-91"
