"1JQJ"	"3M1I"
"3TIO"	"3ONG"
"3SSC"	"1K5Y"
"1CC9"	"4BRW"
"1E8C"	"3BW1"
"1MBB"	"3GAE"
"2BND"	"4HT6"
"2KC8"	"1HWT"
"2GMW"	"3V62"
"2Q27"	"1AUA"
"1VIX"	"1W1W"
"2PFU"	"1UOC"
"2UVK"	"2J16"
"2K8I"	"2HZM"
"1I2N"	"2FUL"
"1ML5"	"3PLT"
"1B4E"	"3N2D"
"2D7E"	"3J65"
"1F21"	"117E"
"1AV8"	"3CJH"
"1I6O"	"2JMI"
"1WXE"	"3EWE"
"1OX8"	"1K5Y"
"1AJ6"	"1FNT"
"1VH1"	"2OGH"
"2RDO"	"3IKO"
"1UIU"	"1EJ8"
"3HXU"	"1A1D"
"1DM9"	"2B7J"
"3T88"	"1PGY"
"1G57"	"2Y9M"
"1E0D"	"3LGO"
"1NXE"	"4C8Q"
"2JVV"	"1SZ9"
"2IO7"	"3CTF"
"2IDB"	"1AOI"
"2PAQ"	"3KYH"
"1PSW"	"1FPW"
"4NUB"	"1OF5"
"1NRK"	"4DS1"
"1QU9"	"4E4W"
"1OLT"	"4BJS"
"3EUH"	"2AXQ"
"2F9Y"	"4MHC"
"1R62"	"2KBE"
"1GNK"	"1CHH"
"2ID0"	"3T5V"
"1A04"	"1K5X"
"2OT2"	"3HIB"
"1DCJ"	"2V6X"
"1D8S"	"2LBW"
"1D2F"	"3GRE"
"1F76"	"1F5M"
"1DUL"	"2G3Q"
"1RKQ"	"2H0R"
"2DY0"	"1K9Y"
"1OVX"	"2HZM"
"2BHS"	"2PK9"
"2JTY"	"4BYR"
"3DMQ"	"1FNT"
"1P3W"	"2QP9"
"1BAL"	"3LCN"
"1N2Z"	"2M3F"
"3KZ5"	"1K5Y"
"1POZ"	"4NIQ"
"1AKO"	"3IZS"
"2LFV"	"3B5N"
"1I7H"	"2LUH"
"1KSK"	"1WR1"
"3QE7"	"1NHY"
"3TLQ"	"1AKH"
"1EK9"	"2GW1"
"1ABV"	"2P22"
"3BM1"	"3J65"
"2IDB"	"2IXO"
"2W00"	"2LOX"
"4IFF"	"1HS7"
"2VH1"	"2C5I"
"1UTA"	"1QQE"
"1GRJ"	"1K5Y"
"3H4R"	"3P9D"
"1B9U"	"4LJO"
"2LRX"	"2LH0"
"2CXA"	"2APO"
"2R6G"	"4H65"
"1A0B"	"1A3W"
"1PFK"	"2DOQ"
"1BT9"	"4A8J"
"2NO8"	"3HTK"
"1E52"	"1ID3"
"2JQT"	"4BYN"
"2FD8"	"4GNS"
"2JLA"	"3DGP"
"1DI6"	"3J16"
"1B75"	"3P9D"
"3DF2"	"2I5K"
"1E9I"	"1N0U"
"1SG7"	"1AJY"
"4DFC"	"4C9J"
"1LOP"	"2O0A"
"1NNX"	"1C02"
"1JW2"	"3BCY"
"4AQ4"	"2B5E"
"3I9W"	"3OA7"
"2DBU"	"1K5Y"
"2H09"	"4BL0"
"1LV3"	"4G4S"
"1EG0"	"1KYQ"
"1GLG"	"1HR6"
"2HUR"	"1EZV"
"1OYZ"	"1AW5"
"1F9Z"	"3U5C"
"1TMH"	"3QMZ"
"1PS9"	"1NGM"
"1FWY"	"2VDU"
"1AY9"	"3IAY"
"1OCX"	"1ZB1"
"1L6W"	"2XPY"
"1I8T"	"3C2E"
"1F39"	"3LRK"
"2ZPL"	"3U5C"
"1ARZ"	"3VU9"
"1G0S"	"2DLC"
"1BS0"	"3QUW"
"3F7T"	"1HNO"
"1EUM"	"1W2W"
"3Q8D"	"4LJY"
"1PRZ"	"1S4U"
"1K92"	"1FKM"
"1P85"	"3B54"
"2E85"	"1K5Y"
"3RG2"	"1ORZ"
"1TE2"	"1OQP"
"1UQW"	"4HNW"
"3NBU"	"4J2W"
"2AKH"	"3ONK"
"2AKH"	"1ZX2"
"1MZG"	"4JE3"
"1GG1"	"1KU1"
"1CMA"	"3U5C"
"1QXH"	"2G80"
"1OJG"	"1ZW8"
"1C14"	"3VP7"
"2AN7"	"2IS9"
"1EEJ"	"3FFL"
"2DER"	"3K49"
"1KF6"	"3IAB"
"1FMT"	"2KM1"
"1A3A"	"2FJI"
"4EAC"	"1AKH"
"1WNB"	"2K0N"
"1EBL"	"4MJ7"
"1ACM"	"3FLO"
"1ACM"	"1SXJ"
"3K46"	"2K3J"
"1IU3"	"2ER8"
"11AS"	"1X3W"
"2E3D"	"1K0K"
"3GWI"	"4DGW"
"1G8Y"	"1AM9"
"1ZH2"	"3CUE"
"2KSF"	"3CUE"
"2LZR"	"1N6Z"
