"2X7F"	"1HR9"
"4C0D"	"3FK3"
"3LV3"	"3W3W"
"1I8H"	"1YGP"
"4I6E"	"2JQQ"
"4B93"	"3PYM"
"1F59"	"1N0U"
"1VU2"	"1MDU"
"1MQB"	"1RKL"
"1T09"	"1ROC"
"1ETE"	"1PYI"
"4BKF"	"4DGW"
"1L3E"	"2KYM"
"1COK"	"2OG4"
"1YSE"	"1PV1"
"1AO3"	"1I3Q"
"1UK0"	"1G62"
"2ALB"	"2HCY"
"1A3Q"	"4FFB"
"1SP1"	"1JKF"
"1JMT"	"1I3Q"
"1B22"	"1EBG"
"1TFI"	"3VLF"
"3FIE"	"2JUC"
"1XJV"	"3BG0"
"2B1W"	"3OF7"
"1M7M"	"3NS5"
"2V1Y"	"1K5Y"
"2ZFU"	"1ZB1"
"3RSN"	"4CR2"
"2C35"	"3OSM"
"1BYQ"	"2HLD"
"1HJO"	"3IKO"
"1EFX"	"1ARD"
"1U4A"	"1I3Q"
"1SSF"	"1AFW"
"1JEI"	"2JTW"
"1EKU"	"1S4U"
"2CCH"	"1M0Y"
"2JNU"	"4K25"
"1Y8N"	"3J65"
"1A02"	"1E6I"
"3ALP"	"1SZ9"
"1Y5D"	"1NRJ"
"1NFI"	"2HLD"
"3BIM"	"1SSE"
"2FLU"	"2PM6"
"4BKX"	"1Z56"
"2ASK"	"2LA4"
"1A2C"	"1NCS"
"1ZT3"	"1FNT"
"2WNT"	"1YFM"
"1W1F"	"4I6M"
"1C4Z"	"1YNX"
"2A4D"	"4LCD"
"2WVI"	"4C8Q"
"2ASU"	"2KBE"
"2K28"	"1JIH"
"2L7T"	"1BGW"
"2JDQ"	"1EX6"
"1A4R"	"1PLQ"
"1ELR"	"3V46"
"1FYC"	"3J65"
"1X47"	"2LWX"
"1LJ2"	"1NT9"
"4EF4"	"1FUK"
"1R0N"	"1G2P"
"1YWT"	"1N8P"
"1KAD"	"3ZLC"
"3AI5"	"1I3Q"
"1BUY"	"3FLO"
"2JNG"	"4FMO"
"1PZL"	"3U5C"
"1AZ7"	"1SXJ"
"1C0F"	"2XAU"
"1LB4"	"1YAG"
"1ILL"	"1JQQ"
"2DAT"	"2B9F"
"2D3G"	"2VNU"
"1D0C"	"2FTX"
"1LG3"	"1ID3"
"3UVM"	"4JJN"
"1BAS"	"2AYU"
"2CPN"	"1JK0"
"2IEY"	"4E4W"
"3SEI"	"4BRU"
"2EAW"	"3C2E"
"1FHA"	"3ULB"
"2IW5"	"1OQP"
"2EZD"	"4C2M"
"1Z1L"	"3G3O"
"1IC8"	"3R7W"
"1XQ8"	"2E7S"
"2DIQ"	"2A6V"
"2HZ6"	"3J47"
"3B4D"	"3RKU"
"1KT0"	"2QLV"
"2K36"	"2P22"
"3HYM"	"1DZF"
"2EQE"	"1BM8"
"3C3Q"	"1W1W"
"2CSA"	"3UTN"
"1WER"	"2Z4D"
"1EWI"	"1NGM"
"3T1I"	"3HIB"
"3EBB"	"4M5D"
"2FF3"	"1AW6"
"2OVJ"	"2Z5B"
"1MK3"	"3J65"
"2A07"	"3ACP"
"4FP9"	"2BF4"
"1C1Y"	"3FLO"
"3G33"	"1CPY"
"1OYX"	"2BPT"
"1HU8"	"3SJD"
"1IGR"	"3O8O"
"121P"	"3FBI"
"3NOI"	"3U28"
"2C60"	"4C8Q"
"1MR1"	"2FZ0"
"1AZE"	"1NEX"
"1YPO"	"2B7J"
"2YPA"	"3M1I"
"1AXC"	"1BQ3"
"2ABO"	"4DGW"
"2RQR"	"2JPS"
"2F8X"	"1D8B"
"2E6N"	"1AYZ"
"2GD7"	"1UN0"
"1NTY"	"2FUL"
"1BY9"	"1FNT"
"3I8E"	"4LIM"
"4C0D"	"2NPI"
"1ES7"	"1USU"
"1L2I"	"1G6Q"
"2I0E"	"3VLD"
"1RJA"	"2LH0"
"1JJ7"	"2LXB"
"1CSB"	"1EZV"
"2L43"	"4CR2"
"1H3I"	"3UKY"
"1DBD"	"3FPZ"
"2ADO"	"1CFY"
"1XU7"	"3NAZ"
"1H4A"	"4A8J"
"1G5V"	"2K0N"
"1A3Q"	"2DZN"
"1CZY"	"3V62"
"1C9B"	"1YKE"
"2BZX"	"4BY6"
"2CLR"	"2KQ7"
"2HH2"	"1SXJ"
"1DS5"	"4F6O"
"1AOX"	"1EZV"
"1XTQ"	"3P9D"
"1GK5"	"2GHP"
"1Z5V"	"2A08"
"1TYI"	"3H0X"
"2HLE"	"2CJK"
"2DJY"	"3J47"
"1B2T"	"1ASY"
"2MAK"	"4B8C"
"1CS9"	"1F60"
"1R21"	"2FH9"
"1H27"	"2PFF"
"2VZ6"	"3J47"
"2HDE"	"2KGN"
"2P6X"	"1YP5"
"1EQF"	"1HV2"
"2IPX"	"2EKE"
"2QM4"	"1FNT"
"2KBI"	"4J86"
"1X59"	"3W15"
"1E3G"	"1BK5"
"2P4E"	"1M45"
"3GD8"	"2JZC"
"4LG6"	"1SXJ"
"1C1Z"	"3D1P"
"4EPU"	"2PQN"
"1B47"	"3J1O"
"2OKJ"	"2LI5"
"1DS6"	"1MQS"
"1FLK"	"3GL1"
"1J5K"	"3U5C"
"2EQR"	"3NYB"
"3OTB"	"3LGO"
"2RKC"	"3GGY"
"3E7O"	"2DLC"
"1UPK"	"1FNT"
"2LVR"	"3BIP"
"1JXQ"	"4ACO"
"1ZMC"	"3NIH"
"1CP3"	"4FI1"
"1N6H"	"2VKN"
"1MDI"	"1HKG"
"1XPD"	"3QB0"
"1T91"	"3ZF8"
"1FVR"	"3W3Y"
"1IAR"	"2QX5"
"1FP0"	"1E6I"
"2GRC"	"3W3T"
"1M31"	"4M6B"
"1ES0"	"3R7W"
"1DEV"	"1JAT"
"1A1W"	"3UPV"
"2LDY"	"1HFB"
"1CA4"	"1A4H"
"2EKO"	"2FQ3"
"1RJT"	"1K5Y"
"2HKF"	"4JQU"
"1E91"	"3QV0"
"3L3P"	"2LGZ"
"3D9S"	"1K5X"
"1FYJ"	"1FNT"
"1KLA"	"2PQR"
"1C9B"	"3W15"
"1IPB"	"4BRW"
"2B5L"	"4BJ1"
"4FOM"	"2I7X"
"4F7O"	"1DFA"
"1AZV"	"4C8Q"
"1J2F"	"4BYR"
"1FQV"	"2AIV"
"3P8C"	"3CPJ"
"2OEV"	"1QB3"
"3EDG"	"1N9R"
"2P39"	"1XLY"
"1BIX"	"3J47"
"1FM6"	"2FTX"
"3BQO"	"2KVI"
"1G9O"	"4ADY"
"3ULH"	"1HR6"
"1BHG"	"2QP9"
"1FZQ"	"2KZB"
"3BIN"	"4C9J"
"1H6G"	"1HQZ"
"2HYI"	"1KXL"
"2KQS"	"4B89"
"1OLZ"	"2GW1"
"3BRT"	"2AJ4"
"2G7R"	"3P9D"
"2LK9"	"2K5U"
"1SWX"	"1K5Y"
"2Q8F"	"3DXR"
"1RJK"	"2BKU"
"1RV1"	"4FFB"
"3G9V"	"1XTZ"
"2HE7"	"1VAD"
"1KBH"	"3ONK"
"1V1C"	"3MP1"
"1XKT"	"3ETV"
"1BC7"	"3C66"
"4GDK"	"2HES"
"2X3V"	"4IX9"
"1F3M"	"3PBP"
"2XQB"	"1CE9"
"3EYG"	"2HZS"
"1NEX"	"1AJY"
"2RQR"	"1A1D"
"3IEC"	"1PAQ"
"3IPK"	"2GA8"
"1JMQ"	"3EWE"
"2MJ7"	"2W61"
"2JQK"	"1RP4"
"2NN6"	"2FJI"
"1CA9"	"3LCA"
"1F81"	"2KZ9"
"2H0D"	"4CR2"
"2D9U"	"3ZWL"
"3V2W"	"3FEM"
"2KLQ"	"2J8A"
"1F1W"	"1RY2"
"1FZA"	"1JK0"
"3RBB"	"4K1C"
"2AWW"	"2FH0"
"1UOC"	"3NFQ"
"1K1G"	"3CUE"
"3QHR"	"1YAA"
"1CMK"	"1CMX"
"1KHC"	"2B5E"
"3DLM"	"3BW1"
"3V4P"	"2L7E"
"1VHH"	"2HZM"
"2KG4"	"3J47"
"1D2B"	"2XJP"
"1YOK"	"2I5K"
"1H4L"	"2LOX"
"2MB7"	"3BLV"
"2OB4"	"2L9Q"
"1NSI"	"1OOT"
"2V4H"	"1CR5"
"1LP3"	"3MNM"
"2UVL"	"3DGP"
"2ZFY"	"2HLD"
"2LSG"	"1FNT"
"1B3J"	"1NRJ"
"2KNB"	"1K5Y"
"1B8K"	"3OKQ"
"1M6Q"	"2J16"
"2E3V"	"1M2O"
"1KEX"	"4C8Q"
"4KAX"	"3LCN"
"2E8M"	"4IFD"
"4GZ9"	"1HNO"
"3J3A"	"1YN8"
"3OHM"	"1Y2Y"
"1AJJ"	"2WP8"
"2Y43"	"3J16"
"1XEQ"	"4BB7"
"3C3O"	"1NYN"
"3LLM"	"1B4L"
"1KPS"	"2IS9"
"1FEX"	"3CMM"
"4GDK"	"2PJW"
"1RI9"	"3MZK"
"1F5X"	"2V3M"
"1HUL"	"1UX4"
"1BFS"	"1BS2"
"1EMR"	"1ZC1"
"1UKH"	"2L9B"
"1YZ1"	"3P9D"
"1WJM"	"3PR6"
"4DX1"	"1UZX"
"2KOH"	"3V9R"
"2YUS"	"1ENW"
"2ZXT"	"2ZXT"
"2FJU"	"1S4N"
"2HDA"	"4IFD"
"2DK5"	"1N87"
"3BC1"	"3N2D"
"1N3Y"	"3LWT"
"1IA8"	"2JSS"
"1W63"	"1DP5"
"2V8Q"	"2QIZ"
"1ZRJ"	"3RWM"
"1ZT4"	"1FKM"
"2I32"	"1U4C"
"1JLI"	"3WHJ"
"3DVK"	"1ZWZ"
"1HCF"	"4C8Q"
"2VRG"	"1SW6"
"2DLZ"	"1ZVF"
"1A12"	"1KY2"
"4I6J"	"4LXJ"
"1UL6"	"3J65"
"1EA6"	"3B2E"
"2KDD"	"4HT6"
"2KMU"	"2FA4"
"4IGZ"	"4IJC"
"1QZ7"	"4G4S"
"1A28"	"3WEE"
"2D9D"	"2RIM"
"1X41"	"1DL2"
"1Q1U"	"1YJO"
"2DAI"	"4EQV"
"1G26"	"1R52"
"1CI6"	"3QT1"
"1X51"	"4J0X"
"2AI6"	"3V9R"
"1ALY"	"2V0P"
"1U6D"	"2QJX"
"2KJY"	"3IZS"
"1LSL"	"1A4E"
"1CN4"	"1W1N"
"1A6A"	"2A6Y"
"2M85"	"2IEW"
"1DGU"	"3BCY"
"2ENQ"	"3K49"
"2I7T"	"1E0N"
"3PV6"	"1WR1"
"2XJY"	"3QMZ"
"2A40"	"2QXL"
"3S8P"	"3CJH"
"1JH5"	"1W1W"
"3M53"	"1KL7"
"2O61"	"3FFL"
"1JHJ"	"1EZV"
"2DLV"	"2L3T"
"2JO8"	"1PGY"
"1FSB"	"3QML"
"1J0X"	"3F4A"
"1Y96"	"3I5P"
"4IFS"	"4A8J"
"1IRJ"	"1U5T"
"2QOS"	"2WP8"
"1B0L"	"2J6A"
