"2X7F"	"1G16"
"1WKW"	"3FMA"
"2M1S"	"1F66"
"4BSO"	"2LA6"
"2V0O"	"3J1O"
"1B3T"	"2GUZ"
"1FEX"	"2DYT"
"1BAS"	"3DXR"
"3J3A"	"1I3Q"
"2ZOQ"	"3FEM"
"1XB7"	"1HFB"
"3CXD"	"1C9B"
"1EJP"	"4A8J"
"2D8I"	"4A8J"
"1H3H"	"3K1F"
"2CJW"	"2JQQ"
"1XW3"	"2LO3"
"2KBI"	"2JQJ"
"1LM5"	"4BRW"
"1G47"	"3CMM"
"2CL3"	"4C2M"
"3P5T"	"3GAE"
"1J0S"	"1FNT"
"2O0O"	"1Z45"
"3IHY"	"2M14"
"3EWV"	"2O0A"
"1T0J"	"4C8Q"
"2COW"	"1EZV"
"2DK3"	"1EZV"
"2L11"	"1HV2"
"2KLR"	"2CJK"
"2HXY"	"1NCS"
"1DEB"	"2HJN"
"2ED0"	"1D8J"
"1AXC"	"3D6I"
"1PKG"	"1I35"
"2EBQ"	"2YNN"
"3PMR"	"4HNW"
"1XJV"	"2KQ7"
"1KI1"	"1JVN"
"1N6U"	"2KM8"
"1AB9"	"4G1P"
"3LRQ"	"2PFF"
"2AZE"	"1AYZ"
"1H28"	"1ERJ"
"2BX6"	"2LBW"
"1E1G"	"2DYM"
"2GU8"	"1CK2"
"4NH9"	"1MN3"
"2PFI"	"1CFY"
"2V1X"	"1MNM"
"1JEQ"	"3W3W"
"2WOJ"	"3BLV"
"1DUJ"	"2KBE"
"4GGA"	"3PEU"
"4EN0"	"1TEY"
"3R45"	"4ACO"
"1PWA"	"3CJH"
"4EMZ"	"4IFD"
"2F15"	"3EWE"
"1A2C"	"1SXJ"
"2G9N"	"2QP9"
"1AUI"	"1NH2"
"1V5W"	"1PV1"
"1AIK"	"3OPB"
"3ZLI"	"3KC2"
"1APJ"	"2DZN"
"2JXJ"	"4FGW"
"2D3J"	"1R52"
"1I72"	"1FY7"
"2WD5"	"1E32"
"2JK4"	"2WW9"
"1FZV"	"2I3T"
"2V77"	"2VNU"
"3FJU"	"1HR6"
"1Y96"	"4C8Q"
"1BBS"	"1L8X"
"2VN9"	"1G6Q"
"2W4O"	"1N0W"
"3JZ7"	"3FFL"
"2K60"	"3D1P"
"2G19"	"1VD4"
"2VI6"	"1IST"
"1F8A"	"1KXL"
"1B3A"	"4BB7"
"1G2S"	"2PRY"
"1EOT"	"1RSG"
"1A12"	"2LA4"
"2GH0"	"4IFD"
"2ASK"	"2WP8"
"3HR0"	"2FUL"
"1ETE"	"2I5K"
"2LK9"	"1YP5"
"3V6O"	"4B0A"
"2EKF"	"1PZD"
"3DCY"	"3WHK"
"2VGE"	"3RBY"
"2O95"	"1K9Y"
"1OFC"	"3RKG"
"4BK0"	"1I3Q"
"3TNF"	"4E4W"
"1NW3"	"3ETV"
"2KWF"	"2LH0"
"2LM0"	"2Y9M"
"2EBL"	"3J47"
"2KDD"	"3J47"
"2YL2"	"2Z5B"
"1V7M"	"3GL1"
"2C35"	"1K5X"
"1AO6"	"3PLT"
"2BR9"	"1GXC"
"3ZRH"	"2G80"
"1APK"	"4M5D"
"3IM4"	"2V3J"
"1G26"	"4BL0"
"2J1D"	"1FNT"
"1FYC"	"4C8Q"
"3E7O"	"1F5M"
"1CI6"	"1OX7"
"1AUE"	"3N4R"
"3M03"	"1N87"
"2AI6"	"4J0X"
"2Q8R"	"2R0S"
"4KT1"	"2DGV"
"3IEZ"	"2KYM"
"2YU1"	"2JSS"
"2KZ3"	"1NRJ"
"1H0C"	"2CKZ"
"1J2M"	"1NLT"
"2KJY"	"1E3G"
"3D3M"	"3GGZ"
"1KT0"	"3NS4"
"2CV5"	"1K5Y"
"1BF5"	"3FK3"
"1OGS"	"1K5Y"
"3GLR"	"1ZPU"
"2WNT"	"3BCY"
"1EHO"	"2FTX"
"2A4D"	"1KYQ"
"4IOP"	"1BQ3"
"1VU4"	"1UN0"
"1BYW"	"4BRU"
"1AN4"	"3WEE"
"2JDQ"	"2D2S"
"2C1M"	"3A58"
"2VSM"	"3PLU"
"1GK4"	"3NYB"
"4A11"	"3ZZF"
"2Q1M"	"3NIH"
"1X47"	"2ZIH"
"2DIT"	"1SCG"
"2GGF"	"4NIQ"
"2DNQ"	"1ZB1"
"3PBL"	"3U28"
"1AHW"	"1W1W"
"1UUJ"	"1ORZ"
"1OIV"	"1EJB"
"2LNK"	"3G9G"
"2EAW"	"4C2M"
"1QU6"	"1OF5"
"2KOM"	"3UKY"
"3RBF"	"1SXJ"
"1SMB"	"4KHA"
"1DFC"	"3NAZ"
"3EWS"	"1FNT"
"1D01"	"1FUK"
"2KUP"	"3J47"
"2M85"	"1ODF"
"2EJ8"	"2OGH"
"2AFF"	"3LCN"
"2V86"	"1FNT"
"2VUW"	"1FNT"
"3O2Q"	"1OIS"
"3JXF"	"2PM6"
"2Y8O"	"1SXJ"
"3T5X"	"2KGN"
"4DHX"	"2B9F"
"1R4X"	"2K8Q"
"2HF6"	"1G8F"
"1IHC"	"1AOO"
"1ICW"	"2CIU"
"1E6F"	"3O2U"
"1A8I"	"1FXT"
"1RKP"	"3B2E"
"3UVV"	"3HYM"
"1DB1"	"3T1N"
"1XX9"	"1DFA"
"1JJ7"	"4LL7"
"3M53"	"4H65"
"3WBP"	"1ID3"
"2DN8"	"1FNT"
"1N83"	"2FSB"
"2K1K"	"4GNS"
"2O61"	"3RWM"
"4MXW"	"1K5Y"
"1B8Q"	"1B4L"
"1HCN"	"3MKQ"
"1HDJ"	"2HLD"
"2G5M"	"1K5Y"
"1B2T"	"4FI1"
"4C8B"	"3UGQ"
"1PCF"	"4FFB"
"1G1S"	"4FFB"
"3Q5D"	"3VLF"
"2P4E"	"3LCA"
"4K6L"	"4K1C"
"1IOX"	"1H4P"
"1B0W"	"3RM5"
"1IRJ"	"1IGN"
"3JUA"	"3J47"
"2LLL"	"1OF5"
"2JK9"	"1KMD"
"3OTB"	"2L9B"
"1YDP"	"3R7W"
"1ZY8"	"1E6I"
"3RBG"	"1GY7"
"2BUJ"	"1TK1"
"3BQO"	"3W1S"
"1T91"	"2XPY"
"2QD0"	"1QVV"
"2PNO"	"3BWT"
"2LDY"	"3HIB"
"2QOS"	"1MR3"
"3D9S"	"2WP8"
"2RF5"	"1K5Y"
"2L3L"	"2V3M"
"1FZQ"	"3U28"
"1NBD"	"4CR2"
"3CXE"	"2A0T"
"1DTW"	"1T5W"
"1TG6"	"1HR9"
"2Q8F"	"2EXU"
"1XIR"	"4BY6"
