"Q9UKE5"	"2X7F A/B/C/D/E=1-325"
"P28482"	"1PME A=1-360"
"Q96QK1"	"2R17 C/D=483-780"
"P60763"	"2C2H A/B=1-192"
"P08621"	"2L5I A=131-151"
"Q9NZ09"	"1WGN A=381-430"
"Q04917"	"2C63 A/B/C/D=1-246"
"Q99497"	"1J42 A=1-189"
"Q99816"	"1KPP A=1-145"
"Q9UK80"	"2Y5B A/E=196-565"
"P41778"	"1DU6 A=241-294"
"P43405"	"1A81 A/C/E/G/I/K=9-262"
"Q05193"	"1DYN A/B=510-633"
"Q15562"	"3L15 A/B=217-447"
"Q9EQZ6"	"1O7F A=1-481"
"P08887"	"1N26 A=20-344"
"P01892"	"1AKJ A=25-300"
"P13984"	"1BBY A=175-243"
"P23921"	"2WGH A/B=75-742"
"Q9HAT8"	"3EGA A=15-275"
"P06239"	"1BHF A=119-226"
"P50750"	"1PF6 A=1-372"
"O43683"	"2LAH A=1-150"
"O75351"	"1WR0 A=1-77"
"Q7Z2W4"	"2X5Y A=724-896"
"P15923"	"1HLH A/B=549-610"
"O00444"	"3COK A/B=2-275"
"Q13651"	"1J7V R=22-235"
"Q03405"	"1YWH A/C/E/G/I/K/M/O=23-335"
"Q09161"	"1H2T C=20-790"
"P26441"	"1CNT 1/2/3/4=1-187"
"Q9WYW0"	"1YC5 A=1-246"
"P10747"	"1YJD C=17-152"
"P04626"	"1MFG B=1247-1255"
"P24723"	"2FK9 A=1-138"
"P43220"	"3C59 A=24-145"
"Q13625"	"1YCS B=892-1128"
"P11345"	"1RRB A=51-131"
"Q7Z6M4"	"4FP9 B/E/G/H=47-381"
"Q9Y6K9"	"2JVX A=394-419"
"Q99708"	"2L4Z A=641-685"
"P11802"	"1LD2 A=1-303"
"P13747"	"1KPR A/C=22-295"
"P04049"	"1C1Y B=55-131"
"P49869"	"1PDU A/B=842-1073"
"P02743"	"1GYK A/B/C/D/E=20-223"
"P60953-2"	"1A4R A/B=1-191"
"P28068"	"1HDM B=19-218"
"P62873"	"4KFM B=1-340"
"P41182"	"1R28 A/B=5-129"
"P22303"	"1B41 A=36-574"
"Q8NEZ4"	"2YSM A=342-439"
"Q9NZI2"	"1S1E A=1-227"
"Q6X1Y7"	"4JW1 A/B=1-618"
"P16471"	"1BP3 B=25-235"
"O14893"	"2LEH A=95-280"
"P35439"	"1PB7 A=394-800"
"P98155"	"1V9U 5=111-151"
"Q99496"	"2H0D B=15-114"
"Q96D96"	"3A2A A/B/C/D=221-273"
"Q13625"	"1YCS B=892-1128"
"P17210"	"2Y5W A/B=1-365"
"Q8IY67"	"3H2U B/D=39-321"
"Q9UL25"	"1YZT A/B=16-183"
"P53990"	"3FRR A=1-189"
"P30086"	"1BD9 A/B=1-187"
"P97784"	"4K0R A=1-606"
"P08559"	"1NI4 A/C=30-390"
"P02568"	"1MDU B/E=1-377"
"P02649"	"1B68 A=19-209"
"Q8IW19"	"2KQB A=368-451"
"Q01705"	"1YMP A/B=1971-2105"
"Q99728"	"1JM7 B=26-140"
"Q9UJ41"	"1TXU A=310-611"
"Q9UBE0"	"1Y8Q A/C=1-346"
"Q07108"	"1E87 A=82-199"
"P13500"	"1DOK A/B=24-99"
"Q9BRX5"	"2E9X C/G=1-216"
"P51787"	"3BJ4 A/B=574-622"
"P31946"	"2BQ0 A/B=1-239"
"P29460"	"1F42 A=23-328"
"P18206"	"1RKC A=1-258"
"Q13148"	"1WF0 A=193-267"
"P26043"	"1GC6 A=1-297"
"Q14980"	"3RO2 B=1899-1926"
"P35637"	"2LA6 A=282-370"
"Q13227"	"2L5G A=53-90"
"P27038"	"1BTE A/B=25-121"
"P03081"	"2PF4 E/F/G/H=1-174"
"O95639-1"	"2D9N A=61-126"
"P03372"	"1A52 A/B=297-554"
"P24593"	"1BOE A=60-106"
"Q8WXE1"	"4IGK C/D=237-243"
"P43146"	"2ED7 A=419-524"
"Q60994"	"1C28 A/B/C=114-247"
"P42224-2"	"1BF5 A=136-710"
"Q9NPI6"	"2WX3 A/B/C=539-582"
"P46108"	"1JU5 A=12-120"
"P62877"	"1LDJ B=19-108"
"P17612"	"2GU8 A=15-351"
"Q14671"	"1IB2 A=828-1176"
"Q96EP0"	"2CT7 A=779-851"
"P37198"	"2H4D A=1-522"
"Q13873"	"2HLQ A=33-131"
"P00740"	"1CFH A=47-93"
"O75147"	"2CPC A=893-992"
"Q9UPY8"	"1WYO A=1-146"
"P02686"	"1BX2 C/F=217-231"
"P37023"	"2LCR A=19-118"
"O18973"	"2FID B=9-73"
"Q96I25"	"2PE8 A=301-401"
"P08620"	"1IJT A=79-206"
"P59768"	"4KFM G=1-68"
"Q96PU5"	"2LAJ A=496-535"
"Q6ZMJ4"	"4DKC A/B=21-193"
"Q6ZYL4"	"1YDL A=6-71"
"P03281"	"3IYN Q/R/S/T=1-140"
"Q16181"	"2QAG C=20-437"
"P36898"	"3EVS C=14-126"
"P10997"	"1KUW A=53-62"
"P31350"	"2UW2 A=60-389"
"P07333"	"2I0V A=538-922"
"P24941"	"1AQ1 A=1-298"
"P17931"	"1A3K A=114-250"
"P24588"	"2H9R C=391-412"
"Q6P5F9"	"3GJX A/D=1-1071"
"Q9UBU8"	"2AQL A/B=190-362"
"P63086"	"1ERK A=1-358"
"Q9NTD8"	"2VUX A/B=20-322"
"O14497"	"1RYU A=1000-1119"
"O43463"	"3MTS A/B/C=44-106"
"O75509"	"2DBH A=567-655"
"P54311"	"3SN6 B=2-340"
"Q13569"	"1WYW A=112-339"
"Q9HAU4"	"1ZVD A=369-748"
"Q9NS83"	"2QIC A=345-404"
"O43896"	"2G1L A=498-599"
"P52943"	"2CU8 A=1-63"
"Q9Y2Z4"	"2PID A/B=32-375"
"Q16611"	"1BXL B=72-87"
"P70280"	"2VX8 A/B/C/D=1-120"
"P14635"	"2B9R A/B=165-433"
"P32527"	"2LWX A=348-433"
"Q04756"	"1YBW A/B=373-655"
"Q9UHD2"	"4EFO A/B=302-383"
"P15559"	"1D4A A/B/C/D=2-274"
"Q13363"	"1MX3 A=28-353"
"Q96QV1"	"2WFT A/B=214-671"
"Q9BSM1"	"4HPL B=167-255"
"P06493"	"1LC9 A=1-297"
"Q16820"	"4GWM A/B=25-614"
"Q9NQB0"	"1JDH B=12-49"
"Q96NY9"	"2MC3 A=127-230"
"P08129"	"1FJM A/B=1-330"
"P32300"	"4EJ4 A=36-342"
"P35569"	"1AYB P=887-898"
"Q13323"	"2IPE @=1-160"
"P15311"	"1NI2 A/B=2-297"
"O00206"	"2Z62 A=27-228"
"Q61036"	"1EES B=65-123"
"Q9UK53"	"2QIC A=345-404"
"P58335"	"1SHT X=38-217"
"P26196"	"1VEC A/B=94-299"
"P07270"	"1A0A A/B=250-312"
"P09603"	"1HMC A/B=36-181"
"P03956"	"1AYK A=101-269"
"P15318"	"1YRT A=1-364"
"Q8IWH2"	"2YUS A=610-675"
"Q07869"	"1I7G A=196-468"
"Q9Y618"	"1KKQ E/F/G/H=2347-2365"
"P35244"	"1L1O A/D=1-121"
"P25098"	"1BAK A=556-670"
"O94888"	"1WJ4 A=378-487"
"P23634"	"1CFF B=1086-1104"
"Q8VDS3"	"2KVM A=1-71"
"Q00535"	"1H4L A/B=1-292"
"P25146"	"1O6S A=36-496"
"Q9UBK2"	"1XB7 P=205-216"
"Q9UBQ0"	"1W24 A=1-182"
"P20591"	"3LJB A/B=366-636"
"O43157"	"2JPH A=1743-1862"
"Q9NPI1"	"2I7K A=129-236"
"P15514"	"2RNL A=142-184"
"P62988"	"2LJ5 A=1-76"
"P49023"	"1KKY A=142-157"
"P07174"	"1NGR A=334-418"
"P01132"	"1A3P A=980-1024"
"Q03164"	"2AGH C=2842-2869"
"P05556"	"1K11 B=786-797"
"O82882"	"3UJZ A=36-898"
"P06756"	"1JV2 A=31-987"
"P21803"	"4HWU A/B=45-127"
"P16070"	"1POZ A=20-178"
"P46939"	"1BHD A/B=144-261"
"O00327"	"4H10 A=66-128"
"O60885"	"2I8N A=352-457"
"P16871"	"3DI2 B/D=21-239"
"Q01196"	"1CMO A=52-178"
"Q13625"	"1YCS B=892-1128"
"Q14766"	"1KSQ A=1340-1412"
"Q99075"	"1XDT R=73-147"
"Q95460"	"4GUP A/C=23-292"
"Q10567"	"4HMY B=1-584"
"Q8VSD5"	"3B21 A=1-212"
"P01111"	"3CON A=1-172"
"Q05152"	"3DVE B=1855-1875"
"O43432"	"1HU3 A=745-1003"
"P22301"	"1ILK A=28-178"
"P40692"	"3NA3 A=1-347"
"Q9UHB6"	"2D8Y A=381-457"
"P15056"	"1UWH A/B=448-723"
"P63244"	"3J3A g=1-317"
"P11762"	"3M2M A/B/C/D/E/F/G/H=2-135"
"Q9Y6N9"	"1X5N A=201-301"
"O14746"	"2BCK C/F=461-469"
"Q60841"	"2DDU A=1222-1597"
"Q15475"	"4EGC A=1-189"
"Q9P0U3"	"2CKG A/B=419-644"
"P01317"	"1APH A=85-105, B=25-54"
"Q12874"	"2DT7 A=71-107"
"P22692"	"1WQJ B=24-103"
"P06241"	"1A0N B=82-148"
"Q13616"	"1LDJ A=17-776"
"P06213"	"1GAG A=1005-1310"
"P54764"	"2LW8 A=29-209"
"O60242"	"4DLO A/B=498-868"
"Q9UHR4"	"2KXC A=339-402"
"O43189"	"2E5P A=29-83"
"P01023"	"1BV8 A=1337-1474"
"P25446"	"3OQ9 A/B/C/D/E=223-308"
"Q92889"	"1Z00 B=834-916"
"Q03001"	"3GJO E/F/G/H=7541-7570"
"P55055"	"1P8D A/B=213-460"
"P18848"	"1CI6 A=280-341"
"P78406"	"3MMY A/C/E/G=1-368"
"O95711"	"3B2D C/D=21-162"
"O43707"	"1WLX A=519-645"
"P08648"	"3VI3 A/C=42-664"
"P68400"	"1JWH A/B=1-337"
"O43819"	"2RLI A=100-266"
"Q92830"	"1F68 A=731-832"
"Q9NVD7-1"	"2K2R A=244-372"
"Q9NYY3"	"4I5M A=57-360"
"Q99558"	"4DN5 A/B=330-680"
"P03495"	"1AIL A=1-72"
"P68135"	"1ALM V/W/X/Y/Z=3-374"
"P21279"	"2BCJ Q=37-353"
"P27348"	"2BTP A/B=1-234"
"D3ZAR1"	"3SO6 A=43-173"
"P48736"	"1E8Y A=144-1102"
"P13804"	"1EFV A=20-333"
"Q9K0U9"	"3V89 A=25-915"
"P13236"	"1HUM A/B=24-92"
"O14641"	"2REY A=261-354"
"Q9WUD1"	"2C2L A/B/C/D=24-304"
"P63146"	"1JAS A=1-152"
"Q05655"	"1YRK A=1-123"
"P49278"	"1A9V A=19-146"
"Q9H3S7"	"3RAU A/B=2-361"
"P38398"	"1JM7 A=1-110"
"P05161"	"1Z2M A=1-155"
"P45973"	"3FDT A=18-75"
"O14965"	"1MQ4 A=125-391"
"Q9UJM3"	"2RF9 C/D=315-374"
"O75880"	"1WP0 A/B/C=138-301"
"B7UM99"	"2CI9 L/M=470-481"
"P49336"	"3RGF A=1-403"
"Q9HCE7"	"2LAZ A=235-267"
"P16333"	"2CI8 A=281-377"
"P07910"	"1TXP A/B/C/D=194-220"
"P80075"	"1ESR A=25-99"
"P08476"	"1NYS B/D=311-426"
"Q76LX8"	"3GHM A=287-685"
"P84022"	"1MHD A/B=1-132"
"Q92731"	"1L2J A/B=256-505"
"Q5VW32"	"3R9M A=2-374"
"O00267"	"2DO3 A=462-523"
"Q16543"	"1US7 B=127-378"
"P04229"	"1AQD B/E/H/K=30-227"
"Q9UKV8"	"3LUC A/B/C=439-575"
"O73557"	"2M1S A=1-99"
"Q2MKA7"	"4BSO A=31-146"
"Q0JRZ9"	"2V0O A/B/C=3-274"
"P23025"	"1D4U A=98-208"
"Q71SY5"	"2KY6 A=391-553"
"P03211"	"1B3T A/B=461-607"
"Q9WUN2"	"4JL9 A=2-656"
"Q71DI3"	"2IIJ B=123-136"
"Q9GZS3"	"3OW8 A/B/C/D=2-305"
"P63279"	"1A3S A=1-158"
"P15941"	"1SM3 P=919-931"
"P10828"	"1BSX A/B=202-461"
"P22607"	"1RY7 B=32-365"
"Q9Y2Y0"	"2K9A A=1-136"
"P61247"	"3J3A B=1-264"
"Q16543"	"1US7 B=127-378"
"P27361"	"2ZOQ A/B=1-379"
"P32455"	"1DG3 A=1-592"
"P01024"	"1C3D A=996-1287"
"O95786"	"2LWD A=95-190"
"P36578"	"3J3B C=1-427"
"Q8WUW1"	"3P8C E=1-75"
"P43235"	"1ATK A=115-329"
"P11474"	"1XB7 A=193-423"
"P26358"	"3EPZ A/B=351-600"
"P10451"	"3CXD P=40-51"
"Q13094"	"1H3H B=232-241"
"Q8WTT0"	"3WBP A/B=83-210"
"P19878"	"1E96 B=1-203"
"P97318"	"1NTV A=23-174"
"P12931"	"1A07 A/B=144-249"
"P27884"	"3DVM B=1963-1982"
"Q14620"	"1B9G A=49-118"
"Q01344"	"1OBX B=413-420"
"P25963"	"1IKN D=67-302"
"P63212"	"1GG2 G=1-71"
"P42702"	"3E0G A=52-534"
"P16104"	"2D31 C/F=78-86"
"P35214"	"2B05 A/B/C/D/E/F=2-246"
"P52298"	"1H2T Z=1-156"
"O41925"	"1MKF A/B=25-406"
"O14763"	"1D0G R/S/T=54-183"
"Q9BYN0"	"1XW3 A=32-137"
"P21589"	"4H1S A/B=27-549"
"P05106"	"1JV2 B=27-718"
"Q13351"	"2L2I B=51-90"
"Q8NHV1"	"3ZJC A/B/C/D/E/F=1-300"
"P08581"	"1FYR I/J/K/L=1356-1359"
"P62799"	"1AOI B/F=17-103"
"Q13418"	"2KBX A=1-171"
"P14907"	"1O6O D/E/F=497-608"
"P47863"	"2D57 A=23-323"
"O00158"	"1M3V A=16-86"
"Q14203"	"1TXQ A=15-107"
"P30291"	"1X8B A=291-575"
"Q9Y5K5"	"3A7S A=1-228"
"Q15819"	"1J74 A=1-145"
"Q8IX03"	"2Z0U A/B=638-785"
"O14980"	"1W9C A/B=707-1027"
"P49763"	"1FZV A/B=19-221"
"O43809"	"2CL3 A=21-227"
"Q9NZ52"	"1JPL A/B/C/D=1-166"
"Q8IXJ6"	"1J8F A/B/C=34-356"
"P33176"	"1BG2 A=1-325"
"P48431"	"1O4X B=39-121"
"Q02297"	"1HAE A=177-238"
"Q9Y5X1"	"2RAI A/B=204-595"
"O76064"	"2CSW A=8-139"
"P40855"	"2W85 B=66-77"
"Q01081"	"1JMT A=43-146"
"P61244"	"1AN2 A=22-107"
"Q08050"	"3G73 A/B=222-360"
"Q15013"	"2QYF B/D=36-274"
"P04629"	"1HE7 A=285-413"
"Q969H0"	"2OVP B=263-707"
"Q8X2D5"	"2K42 B=268-300"
"Q14493"	"2KJM A=129-158"
"P13498"	"1WLP A=149-167"
"Q9K0V0"	"3V8U A/B=22-711"
"Q9NQT8"	"2COW A=1685-1771"
"Q9ULT8"	"2DK3 A=1268-1338"
"O75925"	"1V66 A=1-65"
"Q14739"	"2DIG A=1-55"
"Q9P2D1"	"2CKC A=2563-2622"
"P61326"	"1P27 A/C=2-145"
"Q14061"	"2L0Y B=1-63"
"P29459"	"1F45 B=23-219"
"Q9Y3E7"	"2GD5 A/B/C/D=9-183"
"Q9UBQ5"	"1RZ4 A=1-218"
"Q9NR80"	"2DX1 A=143-611"
"P49643"	"3L9Q A/B=272-464"
"P13725"	"1EVS A=26-212"
"P63000"	"1E96 A=2-192"
"P20248"	"1E9H B/D=175-432"
"P10721"	"1PKG A/B=549-931"
"O60462"	"2QQJ A=275-595"
"O43395"	"1X4Q A=1-79"
"P70168"	"1GCJ A/B=1-449"
"P84077"	"1HUR A/B=2-181"
"P61956"	"1WM2 A=12-89"
"Q9UHX1"	"2DNY A=454-559"
"Q9H668"	"4JOI A/B=19-184"
"Q9HCN6"	"2GI7 A/B=21-203"
"P84233"	"1F66 A/E=1-136"
"P01563"	"1ITF A=24-188"
"P43488"	"2HEW F=51-198"
"P08151"	"2GLI A=234-388"
"P00766"	"1AB9 A=1-13, B=16-146, C=149-245"
"Q15011"	"1WGD A=10-90"
"Q921E6"	"2QXV A=81-441"
"Q96CF2"	"3C3R B=221-233"
"P11498"	"3BG3 A/B/C/D=482-1178"
"Q14186"	"2AZE A=199-350"
"P20839"	"1JCN A/B=1-514"
"P14738"	"2RKY B/D=508-530"
"Q7Z434"	"2VGQ A=3-93"
"Q13163"	"2NPT A/C=5-108"
"Q786F2"	"4GJT A=156-617"
"P03406"	"1AVV A=58-206"
"Q9D0J4"	"1KSG A=1-184"
"Q8K3Y6"	"3U9G A=1-225"
"Q9NT62"	"4NAW D/H/L/P=140-170"
"P35232"	"1LU7 A=1-272"
"P06727"	"3S84 A/B=84-355"
"O43924"	"1KSG B=1-150"
"P62826"	"1I2M A/C=1-216"
"P67775"	"2IAE C/F=1-309"
"Q9HCH5-3"	"3BC1 B/F=10-62"
"P06401"	"1A28 A/B=678-933"
"Q8TEY7"	"2UZG A=36-130"
"P04156"	"1E1G A=125-228"
"Q08499"	"1E9K A=-"
"Q9NYB9"	"2ED0 A=444-508"
"P17612-1"	"2GU8 A=15-351"
"P29353"	"1MIL A=482-583"
"Q12802"	"2DRN C=1246-1268"
"O95150"	"2O0O A/B/C=72-251"
"P80098"	"1BO0 A=24-99"
"P14625"	"4NH9 A=69-337"
"P05107"	"1JX3 A=126-364"
"Q14315"	"1V05 A=2633-2725"
"O15550"	"3AVR A=880-1401"
"P05455"	"1OWX A=225-334"
"Q99598"	"3PJA J/K/L=1-290"
"P51800"	"2PFI A/B=533-687"
"Q6VAB6"	"2Y4I B=634-950"
"P17181"	"3S98 A=30-332"
"Q92934"	"1G5J B=103-127"
"P13010"	"1JEQ B=1-565"
"P24643"	"1JHN A=45-468"
"Q12154"	"2WOJ A/B/C/D=1-354"
"Q13257"	"1DUJ A=11-195"
"O43557"	"4EN0 A/B/C=83-240"
"Q9BUL8"	"3AJM A/B=8-212"
"P21802"	"1DJS A=153-362"
"P10686"	"1Y0M A=791-851"
"Q8N423"	"2DYP D=24-219"
"Q16576"	"3CFS B=1-411"
"O95750"	"1PWA A=39-196"
"Q90VU7"	"4EMZ B/C=1-206"
"P30533"	"1LRE A=51-131"
"Q9UL18"	"1SI2 A=225-369"
"P99999"	"1J3S A=2-104"
"O43741"	"2F15 A=69-163"
"P00974"	"1AAL A/B=36-93"
"P49450"	"3AN2 A/E=1-140"
"Q08209"	"1AUI A=1-521"
"Q01094"	"1H24 E=87-95"
"Q14565"	"1V5W A/B=1-340"
"P04578"	"1AIK C=628-661, N=546-581"
"Q15036"	"3FOG A=1-108"
"O75530"	"3IIW A=77-441"
"P46060"	"1Z5S C=418-587"
"P24385"	"2W96 A=1-271"
"O96017"	"1GXC A/D/G/J=64-212"
"Q5SPW0"	"3N1B A/B=836-974"
"Q9UN37"	"1YXR A=1-77"
"O14607"	"3ZLI A/B=878-1347"
"Q9P0M6"	"2XD7 A/B/C/D=177-369"
"P35555"	"1APJ A=2054-2125"
"P16778"	"2LR1 B=130-150"
"P55040"	"2CJW A/B=74-261"
"P61964"	"2CNX A=20-334"
"P29375"	"2JXJ A=85-175"
"P10276"	"1DKF B=182-416"
"Q96E14"	"3MXN B=1-147"
"P18827"	"4GVC B=303-310"
"Q14188"	"1CF7 B=121-215"
"O60894"	"2YX8 A=27-112"
"P61769"	"1A1M B=21-119"
"O15164"	"2YYN A/B/C/D=891-1012"
"O00213"	"2E45 A=241-290"
"P17707"	"1I72 A=69-334, B=1-67"
"P55957"	"1ZY3 B=82-101"
"Q6P589"	"3F4M A=24-184"
"Q8VGC3"	"1T0H A=68-196, B=254-476"
"Q9NPJ4"	"4B6H C/D=1-121"
"Q9CW03"	"2WD5 B=484-696"
"Q96EP1"	"1LGP A=14-128"
"Q01105"	"2E50 A/B/P/Q=38-238"
"Q92547"	"1WF6 A=326-444"
"P13647"	"3TNU B=350-477"
"P10415"	"1G5M A=1-207"
"P49763"	"1FZV A/B=19-221"
"Q9H1J1"	"2L08 A=70-155"
"Q9HC62"	"1TGZ A=364-589"
"P29474"	"1M9J A/B=67-481"
"Q92769"	"3MAX A/B/C=9-374"
"Q66793"	"3BES R=17-266"
"P15085"	"2V77 A/B=111-419"
"P87108"	"3DXR B=1-93"
"O00411"	"3SPA A=105-1230"
"P62304"	"1VU2 C/K/S/a/i/q/y=1-92"
"P52803"	"2X11 B=27-166"
"P05231"	"1ALU A=28-212"
"Q13309"	"1FQV A/C/E/G/I/K/M/O=89-424"
"Q8N5D0"	"3I7N B=5-17"
"P27040"	"1S4Y A/C=23-120"
"Q9Y294"	"1TEY A=1-156"
"Q9UJY4"	"1MHQ A/B=25-172"
"Q4KMG0"	"3D1M C/D=826-924"
"P01019"	"1N9U A=34-43"
"A5YKK6"	"4C0D A=1565-2371"
"O14773"	"1R60 A=196-563"
"Q62245"	"1GBQ B=1135-1144"
"Q93068"	"1A5R A=1-101"
"P62158"	"1AJI A=5-148"
"P97792"	"3JZ7 A=20-233"
"P23560"	"1B8M A=129-247"
"Q00526"	"1LFN A=1-305"
"P49257"	"3A4U A=31-285"
"Q16665"	"1D7G D=15-73"
"Q15287"	"4A8X A=159-244"
"Q80Z64"	"2VI6 A/B/C/D/E/F/G/H=96-155"
"Q01668"	"3LV3 C=502-510"
"Q9NRG4"	"3RIB A/B=1-433"
"Q13568"	"3DSH A=232-477"
"Q8NEM0"	"2WT8 A/B/C/D=1-95"
"Q15466"	"1YUC C/D=15-28"
"P07567"	"1BAX A=1-94"
"P10636"	"1I8H A=542-554"
"P42566"	"1C07 A=217-311"
"P46063"	"2V1X A/B=49-616"
"P52566"	"1DS6 B=23-199"
"P02281"	"1AOI D/H=28-126"
"Q9HCG8"	"4C9B B=116-406"
"P78364"	"2L8E A=783-828"
"P04645"	"3J3B c=1-115"
"Q9R194"	"4I6E A=1-512"
"Q96NW4"	"4B93 B=659-921"
"Q14974"	"1F59 A/B=1-442"
"P24864"	"1W98 B=96-378"
"Q13009"	"2D8I A=835-935"
"P62306"	"1VU2 D/L/T/b/j/r/z=1-86"
"O60609"	"2GH0 A/B=151-363"
"P02511"	"2KLR A/B=1-175"
"Q99836"	"2JS7 A=146-296"
"P29317"	"1MQB A/B=596-900"
"O75874"	"1T09 A/B=1-414"
"P55273"	"1BD8 A=7-162"
"Q92466"	"3EI4 B/D/F=10-427"
"P00387"	"1M91 A=1-301"
"P49771"	"1ETE A/B/C/D=27-160"
"Q15768"	"4BKF C/D=27-169"
"P60484"	"1D5R A=8-353"
"Q9Y679-2"	"2EKF A=358-411"
"Q9UNZ2"	"1SS6 A=171-270"
"Q09472"	"1L3E B=323-423"
"P31431"	"1EJP A/B=171-198"
"Q15365"	"1WVN A=279-356"
"Q8NFH5"	"4LIR A/B=151-266"
"Q13554"	"3BHH A/B/C/D=11-303"
"P32776"	"1Y5O A=2-115"
"Q9NQ88"	"3DCY A=2-270"
"Q9H446"	"2EBM A=1-121"
"O15350"	"1COK A=487-554"
"Q9H2K2"	"2Y0I S=538-558"
"P42703"	"2Q7N A/C=50-529"
"O15492"	"2BT2 A/B/C/D/E=53-190"
"Q01826"	"1YSE A=353-490"
"P04275"	"1AO3 A/B=1686-1872"
"P05230"	"1AXM A/B/C/D/E/F=21-155"
"P09874"	"1UK0 A/B=662-1010"
"Q08334"	"3LQM A/B=20-220"
