"2X7F"	"3ETV"
"1F1W"	"4MJ7"
"1B9G"	"2D2S"
"2AWW"	"2VDU"
"2VC8"	"1ORZ"
"3FF5"	"2I1A"
"1K1G"	"1CK2"
"2OB4"	"2JZC"
"2V4H"	"2QFV"
"1A6Z"	"2JMI"
"3PHU"	"3CMI"
"2C4P"	"3UC9"
"4AVP"	"3VWA"
"3CZD"	"3QUW"
"4F3L"	"1DVK"
"1M6Q"	"1ZUU"
"1LH9"	"1JVN"
"3PHF"	"1G5B"
"1IL7"	"1NT9"
"2KBR"	"4BJ1"
"1ZKH"	"4MHC"
"1A5Y"	"1K5Y"
"1PBV"	"1OQP"
"2E8M"	"1K5Y"
"1KO6"	"1MR3"
"3J3A"	"4BUJ"
"2V5E"	"3EPH"
"2Y43"	"2P22"
"2KEO"	"1AKH"
"1KPS"	"2L5A"
"3DOE"	"4M77"
"1DLE"	"2H0R"
"3P8C"	"3N2D"
"1DPK"	"3B46"
"3EWV"	"2O0A"
"1T0J"	"3G9G"
"2YUS"	"4AM6"
"2EBQ"	"2M3F"
"4JOI"	"3VU9"
"1AWW"	"1S4N"
"2DK5"	"3NSU"
"1WX9"	"1GXC"
"1P32"	"2K3J"
"3BC1"	"3K10"
"2DRN"	"1Y8M"
"4GGA"	"2RIM"
"2WH0"	"1SSE"
"1QCT"	"2BKW"
"1W63"	"2J16"
"2V8Q"	"4GEQ"
"1AUI"	"4K25"
"4F0Z"	"1VAD"
"2KV2"	"2B7J"
"1DDV"	"3BFR"
"2W4O"	"1JR8"
"2VRG"	"2OAJ"
"1D7G"	"1CMX"
"3V6O"	"3M1I"
"1EA6"	"1TEY"
"1LM8"	"1OW5"
"1OFC"	"4NIQ"
"2KWF"	"3OA7"
"2AXL"	"1F66"
"2V70"	"2XPY"
"1X41"	"1AM9"
"1AUE"	"3ETU"
"2K8P"	"1FXT"
"2CV5"	"4BL0"
"2DMV"	"3G5T"
"1GF2"	"3IZB"
"2IEQ"	"1DMZ"
"1LSL"	"2LNZ"
"1RJB"	"1E32"
"2K03"	"3PR6"
"2LK0"	"3AFO"
"2JPS"	"3UO2"
"2M85"	"3DGP"
"2ENQ"	"1I3Q"
"2D9N"	"1JHJ"
"1IYJ"	"1PLQ"
"2HF6"	"3C2E"
"1I15"	"2PFF"
"3S8P"	"3ED3"
"1CF4"	"3IBV"
"2VSK"	"1HOW"
"2X29"	"2V3M"
"2PA2"	"1K5Y"
"1IRJ"	"1YCD"
"1A7X"	"2R17"
"1AB8"	"2GA8"
